"title_clean","title","n_records","databases","years"
"a novel virtual realitybased training protocol for the enhancement of the mental frame syncing in individuals with alzheimers disease a developmentofconcept trial","A Novel Virtual Reality-Based Training Protocol for the Enhancement of the ""Mental Frame Syncing"" in Individuals with Alzheimer's Disease: A Development-of-Concept Trial.",2,"Embase+PubMed","2017"
"a pilot mixedmethods study of a virtual realitybased mindfulness intervention for livein migrant dementia caregivers in israel","A Pilot Mixed-Methods Study of a Virtual Reality-Based Mindfulness Intervention for Live-In Migrant Dementia Caregivers in Israel.",2,"Embase+PubMed","2025"
"a pilot study and brief overview of rehabilitation via virtual environment in patients suffering from dementia","A pilot study and brief overview of rehabilitation via virtual environment in patients suffering from dementia.",2,"Embase+PubMed","2018"
"a pilot study of assessing visual hallucinations using virtual reality in lewy body disorders","A pilot study of assessing visual hallucinations using virtual reality in lewy body disorders.",2,"Embase+PubMed","2026"
"a pilot study of the effect of repeated practice in virtual reality on everyday action performance in real life","A Pilot Study of the Effect of Repeated Practice in Virtual Reality on Everyday Action Performance in Real Life.",2,"Embase+PubMed","2025"
"a portable and efficient dementia screening tool using eye tracking machine learning and virtual reality","A portable and efficient dementia screening tool using eye tracking machine learning and virtual reality.",2,"Embase+PubMed","2024"
"a quasiexperimental study comparing a vr computerbased and facetoface alzheimers embodiment education scenario beatriz","A quasi-experimental study comparing a VR, computer-based, and face-to-face Alzheimer's embodiment education scenario, ""Beatriz"".",2,"Embase+PubMed","2026"
"a rehabilitation protocol for empowering spatial orientation in mci a pilot study","A Rehabilitation Protocol for Empowering Spatial Orientation in MCI. A Pilot Study.",3,"Embase+PubMed","2009"
"a review of the application of virtual reality technology in the diagnosis and treatment of cognitive impairment","A Review of the Application of Virtual Reality Technology in the Diagnosis and Treatment of Cognitive Impairment.",2,"Embase+PubMed","2019"
"a scoping review of cognitive training in neurodegenerative diseases via computerized and virtual reality tools what we know so far","A Scoping Review of Cognitive Training in Neurodegenerative Diseases via Computerized and Virtual Reality Tools: What We Know So Far.",2,"Embase+PubMed","2021"
"a showcase of medical therapeutic and pastime uses of virtual reality vr and how vr is impacting the dementia sector","A Showcase of Medical, Therapeutic and Pastime Uses of Virtual Reality (VR) and How (VR) Is Impacting the Dementia Sector.",2,"Embase+PubMed","2019"
"a smart secure virtual reality immersive application for alzheimers and dementia patients","A smart secure virtual reality immersive application for alzheimer's and dementia patients.",2,"Embase+PubMed","2025"
"a succinct overview of virtual reality technology use in alzheimers disease","A succinct overview of virtual reality technology use in Alzheimer's disease.",2,"Embase+PubMed","2015"
"a survey of alzheimers disease early diagnosis methods for cognitive assessment","A Survey of Alzheimer's Disease Early Diagnosis Methods for Cognitive Assessment.",2,"Embase+PubMed","2020"
"a systematic review of performancebased functional capacity measures for use in huntingtons disease and evaluation of their suitability for clinical trials","A systematic review of performance-based functional capacity measures for use in Huntington's disease and evaluation of their suitability for clinical trials.",2,"Embase+PubMed","2025"
"a systematic review of the use of virtual reality and its effects on cognition in individuals with neurocognitive disorders","A systematic review of the use of virtual reality and its effects on cognition in individuals with neurocognitive disorders.",2,"Embase+PubMed","2019"
"a systematic review virtualrealitybased techniques for human exercises and health improvement","A systematic review: Virtual-reality-based techniques for human exercises and health improvement.",2,"Embase+PubMed","2023"
"a virtual environment for the assessment and the rehabilitation of the visuoconstructional ability in dementia patients","A virtual environment for the assessment and the rehabilitation of the visuo-constructional ability in dementia patients.",2,"Embase+PubMed","2000"
"a virtual reality cognitive screening tool based on the six cognitive domains","A virtual reality cognitive screening tool based on the six cognitive domains.",2,"Embase+PubMed","2024"
"a virtual reality intervention to improve formal caregivers understanding of communitydwelling people with dementia a pilot study","A virtual reality intervention to improve formal caregivers' understanding of community-dwelling people with dementia: a pilot study.",2,"Embase+PubMed","2023"
"a virtual reality intervention to improve the understanding and empathy for people with dementia in informal caregivers results of a pilot study","A virtual reality intervention to improve the understanding and empathy for people with dementia in informal caregivers: results of a pilot study.",2,"Embase+PubMed","2018"
"a virtual reality intervention to reduce dementiarelated agitation using singlecase design","A Virtual Reality Intervention to Reduce Dementia-Related Agitation Using Single-Case Design.",2,"Embase+PubMed","2022"
"a visit with viv empathising with a digital human character embodying the lived experiences of dementia","A visit with Viv: Empathising with a digital human character embodying the lived experiences of dementia.",2,"Embase+PubMed","2021"
"a walk through dementia exploring the effects of a virtual reality app about dementia on students knowledge and attitudes","A Walk Through Dementia: exploring the effects of a virtual reality app about dementia on students' knowledge and attitudes.",2,"Embase+PubMed","2025"
"aberrant astrocytes impair vascular reactivity in huntington disease","Aberrant astrocytes impair vascular reactivity in Huntington disease.",2,"Embase+PubMed","2015"
"acceptability of virtual reality to screen for dementia in older adults","Acceptability of virtual reality to screen for dementia in older adults.",2,"Embase+PubMed","2024"
"acceptance and usability of immersive virtual reality in older adults with objective and subjective cognitive decline","Acceptance and Usability of Immersive Virtual Reality in Older Adults with Objective and Subjective Cognitive Decline.",2,"Embase+PubMed","2021"
"advances in neurorehabilitation of trem2related dementia a case report on a novel multimodal approach using virtual reality","Advances in neuroRehabilitation of TREM2-related dementia: A case report on a novel multimodal approach using virtual reality.",2,"Embase+PubMed","2022"
"advances in ocular motor and pupil biomarkers for neurological disorders","Advances in ocular motor and pupil biomarkers for neurological disorders.",2,"Embase+PubMed","2026"
"advancing public health through technological rehabilitation insights from a national clinician survey","Advancing public health through technological rehabilitation: insights from a national clinician survey.",2,"Embase+PubMed","2024"
"affective outworld experience via virtual reality for older adults living with mild cognitive impairments or mild dementia","Affective Out-World Experience via Virtual Reality for Older Adults Living with Mild Cognitive Impairments or Mild Dementia.",2,"Embase+PubMed","2023"
"age and dementia related differences in spatial navigation within an immersive virtual environment","Age and dementia related differences in spatial navigation within an immersive virtual environment.",2,"Embase+PubMed","2009"
"age differences in virtual environment and real world path integration","Age differences in virtual environment and real world path integration.",2,"Embase+PubMed","2012"
"age effect on components of episodic memory and feature binding a virtual reality study","Age effect on components of episodic memory and feature binding: A virtual reality study.",2,"Embase+PubMed","2010"
"ageing effects on path integration and landmark navigation","Ageing effects on path integration and landmark navigation.",2,"Embase+PubMed","2012"
"allocentric and egocentric spatial processing in middleaged adults at high risk of lateonset alzheimers disease the prevent dementia study","Allocentric and Egocentric Spatial Processing in Middle-Aged Adults at High Risk of Late-Onset Alzheimer's Disease: The PREVENT Dementia Study.",2,"Embase+PubMed","2018"
"alpha3alpha2 power ratios relate to performance on a virtual reality shopping task in ageing adults","Alpha3/alpha2 power ratios relate to performance on a virtual reality shopping task in ageing adults.",2,"Embase+PubMed","2022"
"altoidaiadl for the diagnosis of mild cognitive impairment and early alzheimers disease","ALTOIDA-iADL for the diagnosis of Mild Cognitive Impairment and early Alzheimer's disease",2,"Embase","2021"
"alzheimers disease current therapeutic strategies and emerging perspectives for multifactorial intervention","Alzheimer's disease: Current therapeutic strategies and emerging perspectives for multifactorial intervention.",2,"Embase+PubMed","2026"
"alzheimers disease diagnosis in the metaverse","Alzheimer's disease diagnosis in the metaverse.",2,"Embase+PubMed","2024"
"alzheimers pathology causes impaired inhibitory connections and reactivation of spatial codes during spatial navigation","Alzheimer's pathology causes impaired inhibitory connections and reactivation of spatial codes during spatial navigation.",2,"Embase+PubMed","2021"
"amyloid burden correlates with cognitive decline in alzheimers disease presenting with aphasia","Amyloid burden correlates with cognitive decline in Alzheimer's disease presenting with aphasia.",2,"Embase+PubMed","2014"
"an ensemble learning algorithm for cognitive evaluation by an immersive virtual reality supermarket","An Ensemble Learning Algorithm for Cognitive Evaluation by an Immersive Virtual Reality Supermarket.",2,"Embase+PubMed","2024"
"an immersive virtual reality room to enhance positive affect and engagement in nursing home residents with neurocognitive and psychological disorders a feasibility study","An Immersive Virtual Reality Room to Enhance Positive Affect and Engagement in Nursing Home Residents with Neurocognitive and Psychological Disorders: A Feasibility Study.",2,"Embase+PubMed","2026"
"an integrated intervention of computerized cognitive training and physical exercise in virtual reality for people with alzheimers disease the jdome study protocol","An integrated intervention of computerized cognitive training and physical exercise in virtual reality for people with Alzheimer's disease: The jDome study protocol.",3,"Embase+PubMed","2022"
"an intervention on anxiety symptoms in moderate alzheimers disease through virtual reality a feasibility study and lessons learned","An Intervention on Anxiety Symptoms in Moderate Alzheimer's Disease through Virtual Reality: A Feasibility Study and Lessons Learned.",2,"Embase+PubMed","2023"
"an investigation into art therapy aided health and wellbeing research a 75year bibliometric analysis","An Investigation into Art Therapy Aided Health and Well-Being Research: A 75-Year Bibliometric Analysis.",2,"Embase+PubMed","2022"
"an overview of cognitive reserve in aging based on keyword network analysis","An Overview of Cognitive Reserve in Aging Based on Keyword Network Analysis.",2,"Embase+PubMed","2022"
"anticipatory reaching motor behavior characterizes patients within the alzheimers disease continuum in a virtual reality environment","Anticipatory reaching motor behavior characterizes patients within the Alzheimer's disease continuum in a virtual reality environment.",2,"Embase+PubMed","2025"
"antioxidants protect against dopamineinduced metallothioneiniii gif mrna expression in mouse glial cell line vr2g","Antioxidants protect against dopamine-induced metallothionein-III (GIF) mRNA expression in mouse glial cell line (VR-2g).",2,"Embase+PubMed","2000"
"applicability of an immersive virtual reality system to assess egocentric orientation of older adults","Applicability of an immersive virtual reality system to assess egocentric orientation of older adults.",2,"Embase+PubMed","2023"
"application and effectiveness of adaptive ai in elderly healthcare","Application and effectiveness of adaptive AI in elderly healthcare.",2,"Embase+PubMed","2025"
"application of braincomputer interface technology in vascular cognitive impairment a systematic review","Application of Brain-Computer Interface Technology in Vascular Cognitive Impairment: A Systematic Review.",2,"Embase+PubMed","2026"
"application of vr360 for clinical reasoning development in occupational therapy students in handling complex behavioural symptoms in individuals with dementia","Application of VR360 for Clinical Reasoning Development in Occupational Therapy Students in Handling Complex Behavioural Symptoms in Individuals With Dementia.",2,"Embase+PubMed","2026"
"applications of artificial intelligence in the neuropsychological assessment of dementia a systematic review","Applications of Artificial Intelligence in the Neuropsychological Assessment of Dementia: A Systematic Review.",2,"Embase+PubMed","2024"
"apraxia from neuroanatomical pathways to clinical manifestations","Apraxia: From Neuroanatomical Pathways to Clinical Manifestations.",2,"Embase+PubMed","2025"
"are we there yet immersive virtual reality to improve cognitive function in dementia and mild cognitive impairment","Are We There Yet? Immersive Virtual Reality to Improve Cognitive Function in Dementia and Mild Cognitive Impairment.",2,"Embase+PubMed","2020"
"artificial intelligence for educating family caregivers of people with dementia a mixed methods systematic review","Artificial intelligence for educating family caregivers of people with dementia: A mixed methods systematic review.",2,"Embase+PubMed","2026"
"assessing cognition outside of the clinic smartphones and sensors for cognitive assessment across diverse psychiatric disorders","Assessing Cognition Outside of the Clinic: Smartphones and Sensors for Cognitive Assessment Across Diverse Psychiatric Disorders.",2,"Embase+PubMed","2019"
"assessing mild cognitive impairment using objectlocation memory in immersive virtual environments","Assessing mild cognitive impairment using object-location memory in immersive virtual environments.",2,"Embase+PubMed","2022"
"assessing saccadic eye movements with headmounted display virtual reality technology","Assessing Saccadic Eye Movements With Head-Mounted Display Virtual Reality Technology.",2,"Embase+PubMed","2020"
"assessment of cognitive instrumental activities of daily living a systematic review","Assessment of cognitive instrumental activities of daily living: a systematic review.",2,"Embase+PubMed","2021"
"assessment of instrumental activities of daily living in older adults with subjective cognitive decline using the virtual reality functional capacity assessment tool vrfcat","Assessment of Instrumental Activities of Daily Living in Older Adults with Subjective Cognitive Decline Using the Virtual Reality Functional Capacity Assessment Tool (VRFCAT).",2,"Embase+PubMed","2018"
"assessment of visualspatial deficits in patients with parkinsons disease and closed head injuries using virtual environments","Assessment of visual-spatial deficits in patients with Parkinson's disease and closed head injuries using virtual environments.",2,"Embase+PubMed","2005"
"association between cognitive function and spatialtemporal measures of gait and balance when navigating a virtual reality floor maze","Association Between Cognitive Function and Spatial-Temporal Measures of Gait and Balance When Navigating a Virtual Reality Floor Maze.",2,"Embase+PubMed","2025"
"associations between cortical thickness and metamemory in alzheimers disease","Associations between Cortical Thickness and Metamemory in Alzheimer's Disease.",4,"Embase+PubMed","2018;2022"
"balance and gait disorders in the aged population causes assessment and management a literature review","Balance and Gait Disorders in the Aged Population. Causes, Assessment and Management: A Literature Review.",2,"Embase+PubMed","2025"
"beauty in the shadow of neurodegenerative disease a narrative review on aesthetic experience neural mechanisms and therapeutic frontiers","Beauty in the shadow of neurodegenerative disease: a narrative review on aesthetic experience, neural mechanisms, and therapeutic frontiers.",2,"Embase+PubMed","2025"
"behaviour of motor disabilities and appearance of visual hallucinations in patients with parkinsons disease in a virtual environment","Behaviour of motor disabilities and appearance of visual hallucinations in patients with Parkinson's disease in a virtual environment.",3,"Embase+PubMed","2009"
"being in the past and perform the future in a virtual world vr applications to assess and enhance episodic and prospective memory in normal and pathological aging","Being in the Past and Perform the Future in a Virtual World: VR Applications to Assess and Enhance Episodic and Prospective Memory in Normal and Pathological Aging.",2,"Embase+PubMed","2020"
"benefits in alzheimers disease of sensory and multisensory stimulation","Benefits in Alzheimer's Disease of Sensory and Multisensory Stimulation.",2,"Embase+PubMed","2021"
"benefits of nostalgic landmarks for people living with alzheimers disease","Benefits of nostalgic landmarks for people living with Alzheimer's disease.",2,"Embase+PubMed","2024"
"bibliometric analysis of rehabilitation in alzheimers disease 20002023 trends hotspots and prospects","Bibliometric analysis of rehabilitation in Alzheimer's disease (2000-2023): trends, hotspots and prospects.",2,"Embase+PubMed","2024"
"bibliometric analysis of research in pediatrics related to virtual and augmented reality a systematic review","Bibliometric Analysis of Research in Pediatrics Related to Virtual and Augmented Reality: A Systematic Review.",2,"Embase+PubMed","2024"
"blocking progression from intervenable mild cognitive impairment to irreversible dementia what can we do","Blocking progression from intervenable mild cognitive impairment to irreversible dementia, what can we do?",2,"Embase+PubMed","2024"
"bodily and visualcognitive navigation aids to enhance spatial recall in mild cognitive impairment","Bodily and Visual-Cognitive Navigation Aids to Enhance Spatial Recall in Mild Cognitive Impairment.",2,"Embase+PubMed","2024"
"brain banks in latin america infrastructure for diagnosis research and scientific equity in mexico and the caribbean","Brain banks in Latin America: Infrastructure for diagnosis, research, and scientific equity in Mexico and the Caribbean.",2,"Embase+PubMed","2025"
"brain mapps structure and usability a new application for cognitive rehabilitation at home","Brain M-App's Structure and Usability: A New Application for Cognitive Rehabilitation at Home.",2,"Embase+PubMed","2022"
"bridging gaps in the design and implementation of socially assistive technologies for dementia care the role of occupational therapy","Bridging gaps in the design and implementation of socially assistive technologies for dementia care: the role of occupational therapy.",2,"Embase+PubMed","2024"
"bringing the outside in the feasibility of virtual reality with people with dementia in an inpatient psychiatric care setting","Bringing the outside in: The feasibility of virtual reality with people with dementia in an inpatient psychiatric care setting.",2,"Embase+PubMed","2021"
"building embodied spaces for spatial memory neurorehabilitation with virtual reality in normal and pathological aging","Building Embodied Spaces for Spatial Memory Neurorehabilitation with Virtual Reality in Normal and Pathological Aging.",2,"Embase+PubMed","2021"
"can a novel computerized cognitive screening test provide additional information for early detection of alzheimers disease","Can a novel computerized cognitive screening test provide additional information for early detection of Alzheimer's disease?",2,"Embase+PubMed","2014"
"can a virtual reality cognitive training application fulfill a dual role using the virtual supermarket cognitive training application as a screening tool for mild cognitive impairment","Can a virtual reality cognitive training application fulfill a dual role? Using the virtual supermarket cognitive training application as a screening tool for mild cognitive impairment.",2,"Embase+PubMed","2015"
"can pet data differentiate alzheimers disease from vascular dementia","Can PET data differentiate Alzheimer's disease from vascular dementia?",2,"Embase+PubMed","2000"
"can the mixed virtual reality simulator into dmentia enhance empathy and understanding and decrease burden in informal dementia caregivers","Can the Mixed Virtual Reality Simulator Into D'mentia Enhance Empathy and Understanding and Decrease Burden in Informal Dementia Caregivers?",2,"Embase+PubMed","2018"
"can use of digital technologies by people with dementia improve selfmanagement and social participation a systematic review of effect studies","Can Use of Digital Technologies by People with Dementia Improve Self-Management and Social Participation? A Systematic Review of Effect Studies.",2,"Embase+PubMed","2021"
"canthumbs up recruitment in the virtual era","CAN-Thumbs Up: Recruitment in the virtual era",2,"Embase","2023"
"carers and professionals views on using virtual reality in dementia care a qualitative study","Carers and professionals' views on using virtual reality in dementia care: A qualitative study.",2,"Embase+PubMed","2025"
"ceruloplasmin and ferritin changes in ocular fluids from patients with vitreoretinal diseases relation with neuroinflammation and drusen formation","Ceruloplasmin and Ferritin Changes in Ocular Fluids from Patients with Vitreoretinal Diseases: Relation with Neuroinflammation and Drusen Formation.",2,"Embase+PubMed","2025"
"characteristics of the top 100 cited electroencephalography articles on aging a bibliometric analysis","Characteristics of the top 100 cited electroencephalography articles on aging: a bibliometric analysis.",2,"Embase+PubMed","2024"
"characterizing visual read taupetnegative participants with alzheimers disease dementia","Characterizing visual read tau-PET-negative participants with Alzheimer's disease dementia.",2,"Embase+PubMed","2025"
"clinical observation of vr virtual reality rehabilitation training combined with acupuncture in the treatment of mild cognitive impairment","Clinical observation of VR virtual reality rehabilitation training combined with acupuncture in the treatment of mild cognitive impairment.",2,"Embase+PubMed","2025"
"clinical outcomes up to 9 years after 18fflutemetamol amyloidpet in a symptomatic memory clinic population","Clinical outcomes up to 9 years after [18F]flutemetamol amyloid-PET in a symptomatic memory clinic population",2,"Embase","2023"
"codesign of a digital app whatmatters to support personcentred care a critical reflection","Co-design of a digital app ""WhatMatters"" to support person-centred care: A critical reflection.",2,"Embase+PubMed","2023"
"codesigning with frail nursing home residents to gamify a vrbased physiocognitive intervention","Co-designing with frail nursing home residents to gamify a VR-based physio-cognitive intervention.",2,"Embase+PubMed","2026"
"cognition function and awareness of disease impact in early parkinsons and huntingtons disease","Cognition, function and awareness of disease impact in early Parkinson's and Huntington's disease.",2,"Embase+PubMed","2022"
"cognition in virtual reality assessing user acceptability and feasibility of virtual reality cognitive screening for older adults","Cognition in virtual reality: assessing user acceptability and feasibility of virtual reality cognitive screening for older adults.",2,"Embase+PubMed","2025"
"cognitive and physical intervention in metals dysfunction and neurodegeneration","Cognitive and Physical Intervention in Metals' Dysfunction and Neurodegeneration.",2,"Embase+PubMed","2022"
"cognitive care at your fingertips a systematic review of telemedicine potential and barriers in rehabilitation for dementia","Cognitive care at your fingertips: A systematic review of telemedicine potential and barriers in rehabilitation for dementia.",2,"Embase+PubMed","2025"
"cognitive evaluation for the diagnosis of alzheimers disease based on turing test and virtual environments","Cognitive evaluation for the diagnosis of Alzheimer's disease based on Turing Test and Virtual Environments.",2,"Embase+PubMed","2017"
"cognitive intervention using information and communication technology for older adults with mild cognitive impairment a systematic review and metaanalysis","Cognitive Intervention Using Information and Communication Technology for Older Adults with Mild Cognitive Impairment: A Systematic Review and Meta-Analysis.",2,"Embase+PubMed","2021"
"cognitive reserve and the effects of virtual realitybased cognitive training on elderly individuals with mild cognitive impairment and normal cognition","Cognitive reserve and the effects of virtual reality-based cognitive training on elderly individuals with mild cognitive impairment and normal cognition.",2,"Embase+PubMed","2021"
"combining reinforcement learning and virtual reality in mild neurocognitive impairment a new usability assessment on patients and caregivers","Combining reinforcement learning and virtual reality in mild neurocognitive impairment: a new usability assessment on patients and caregivers.",2,"Embase+PubMed","2023"
"commentary on cognition in schizophrenia","Commentary on ""Cognition in schizophrenia""",2,"Embase","2013"
"communicative and methodological challenges related to collecting data with older adults with dementia in senior living communities during the covid19 pandemic","Communicative and Methodological Challenges Related to Collecting Data with Older Adults with Dementia in Senior Living Communities During the COVID-19 Pandemic.",2,"Embase+PubMed","2025"
"communitybased virtual reality interventions in older adults with dementia andor cognitive impairment a systematic review","Community-Based Virtual Reality Interventions in Older Adults with Dementia and/or Cognitive Impairment: A Systematic Review.",2,"Embase+PubMed","2025"
"comparing digital cognitive interventions to active controls and usual care for mild cognitive impairment and dementia a systematic review and metaanalysis","Comparing Digital Cognitive Interventions to Active Controls and Usual Care for Mild Cognitive Impairment and Dementia: A Systematic Review and Meta-Analysis.",2,"Embase+PubMed","2026"
"comparing the efficacy of content and media for online dementia education a fivearm randomized controlled trial","Comparing the efficacy of content and media for online dementia education: A five-arm randomized controlled trial.",2,"Embase+PubMed","2026"
"comparison of time taken to assess cognitive function using a fully immersive and automated virtual reality system vs the montreal cognitive assessment","Comparison of Time Taken to Assess Cognitive Function Using a Fully Immersive and Automated Virtual Reality System vs. the Montreal Cognitive Assessment.",2,"Embase+PubMed","2021"
"compensatory postural adjustments in an oculus virtual reality environment and the risk of falling in alzheimers disease","Compensatory Postural Adjustments in an Oculus Virtual Reality Environment and the Risk of Falling in Alzheimer's Disease.",2,"Embase+PubMed","2016"
"computerised cognitive training for 12 or more weeks for maintaining cognitive function in cognitively healthy people in late life","Computerised cognitive training for 12 or more weeks for maintaining cognitive function in cognitively healthy people in late life.",2,"Embase+PubMed","2020"
"computerised cognitive training for maintaining cognitive function in cognitively healthy people in late life","Computerised cognitive training for maintaining cognitive function in cognitively healthy people in late life.",2,"Embase+PubMed","2019"
"computerised cognitive training for maintaining cognitive function in cognitively healthy people in midlife","Computerised cognitive training for maintaining cognitive function in cognitively healthy people in midlife.",2,"Embase+PubMed","2019"
"computerised cognitive training for preventing dementia in people with mild cognitive impairment","Computerised cognitive training for preventing dementia in people with mild cognitive impairment.",2,"Embase+PubMed","2019"
"computerized and virtual reality cognitive training for individuals at high risk of cognitive decline systematic review of the literature","Computerized and virtual reality cognitive training for individuals at high risk of cognitive decline: systematic review of the literature.",2,"Embase+PubMed","2015"
"computerized cognitive interventions for preventing dementia in peoplewithmild cognitive impairment a systematic review with metaanalyses","Computerized cognitive interventions for preventing dementia in peoplewithmild cognitive impairment: A systematic review with meta-analyses",2,"Embase","2022"
"computerized cognitive training in older adults with mild cognitive impairment or dementia a systematic review and metaanalysis","Computerized Cognitive Training in Older Adults With Mild Cognitive Impairment or Dementia: A Systematic Review and Meta-Analysis.",2,"Embase+PubMed","2017"
"continuous updating via selfmotion compensates for weak allocentric spatial memory in aging","Continuous updating via self-motion compensates for weak allocentric spatial memory in aging.",2,"Embase+PubMed","2025"
"current cognition tests potential virtual reality applications and serious games in cognitive assessment and nonpharmacological therapy for neurocognitive disorders","Current Cognition Tests, Potential Virtual Reality Applications, and Serious Games in Cognitive Assessment and Non-Pharmacological Therapy for Neurocognitive Disorders.",2,"Embase+PubMed","2020"
"dementia and nutrition a multidisciplinary massive open online course for health care professionals students and nonprofessionals","Dementia and Nutrition: A Multidisciplinary Massive Open Online Course for Health Care Professionals, Students and Non-Professionals",2,"Embase","2023"
"dementia simulation for family caregivers of persons with dementia a scoping review","Dementia Simulation for Family Caregivers of Persons With Dementia: A Scoping Review.",2,"Embase+PubMed","2023"
"detecting alzheimers disease using digital virtual reality cognitive tests","Detecting Alzheimer's disease using digital virtual reality cognitive tests.",2,"Embase+PubMed","2025"
"detecting early egocentric and allocentric impairments deficits in alzheimers disease an experimental study with virtual reality","Detecting early egocentric and allocentric impairments deficits in Alzheimer's disease: an experimental study with virtual reality.",2,"Embase+PubMed","2015"
"detecting everyday action deficits in alzheimers disease using a nonimmersive virtual reality kitchen","Detecting everyday action deficits in Alzheimer's disease using a nonimmersive virtual reality kitchen.",2,"Embase+PubMed","2014"
"detecting navigational deficits in cognitive aging and alzheimer disease using virtual reality","Detecting navigational deficits in cognitive aging and Alzheimer disease using virtual reality.",2,"Embase+PubMed","2008"
"detection of mild cognitive impairment based on virtual reality a scoping review","Detection of Mild Cognitive Impairment Based on Virtual Reality: A Scoping Review.",2,"Embase+PubMed","2020"
"detection of mild cognitive impairment in an atrisk group of older adults can a novel selfadministered serious gamebased screening test improve diagnostic accuracy","Detection of Mild Cognitive Impairment in an At-Risk Group of Older Adults: Can a Novel Self-Administered Serious Game-Based Screening Test Improve Diagnostic Accuracy?",2,"Embase+PubMed","2020"
"developing a virtual reality for people with dementia in nursing homes based on their psychological needs a feasibility study","Developing a virtual reality for people with dementia in nursing homes based on their psychological needs: a feasibility study.",2,"Embase+PubMed","2021"
"developing a virtual realitybased methodology for people with dementia a feasibility study","Developing a virtual reality-based methodology for people with dementia: a feasibility study.",2,"Embase+PubMed","2003"
"development and design of nextgeneration headmounted ambulatory microdose positronemission tomography ampet system","Development and Design of Next-Generation Head-Mounted Ambulatory Microdose Positron-Emission Tomography (AM-PET) System.",2,"Embase+PubMed","2017"
"development and effectiveness verification of metaverse cognitive therapy contents for mci patients","Development and Effectiveness Verification of Metaverse Cognitive Therapy Contents for MCI Patients.",2,"Embase+PubMed","2023"
