label,screening_id,database,title,abstract,author,year,journal,publication_type,doi_clean,pmid_clean,psychosocial_priority,screening_decision,exclusion_reason,screening_notes,screened_abstracts,note,notes,suggested_decision,suggested_reason_code,screening_confidence,screening_rationale,screening_rule_flags,manual_review_required,screening_method,possible_report_family,citation_mining_candidate
VRD0181|Comparing Digital Cognitive Interventions to Active Controls and Usual Care for Mild Cognitive Impairment and Dementia: A Systematic Review and Meta-Analysis.,VRD0181,PubMed,Comparing Digital Cognitive Interventions to Active Controls and Usual Care for Mild Cognitive Impairment and Dementia: A Systematic Review and Meta-Analysis.,"Background and Objectives: Mild cognitive impairment (MCI) and dementia are prevalent public health challenges with limited pharmacological options for cognitive enhancement. Digital cognitive rehabilitative interventions (DCIs) have emerged as a promising non-pharmacological approach, offering accessibility and personalized strategies. However, their efficacy across diverse populations and contexts remains unclear. This study evaluated the effectiveness of DCIs in improving global cognitive function in individuals with MCI and dementia by comparing them to active controls and usual care. Materials and Methods: Ten databases, including Ovid-Medline, Ovid-Embase, Cochrane Library, CINAHL, Web of Science, PsycINFO, KoreaMed, KMbase, RISS, and KISS, were searched for studies published up to May 2025. Global cognitive and executive functions, along with quality of life, were assessed. Meta-analyses using Review Manager version 5.4 were conducted to evaluate global cognitive function improvements, first stratified by comparator group (active control vs. usual care) and further stratified by patient (MCI vs. dementia) and intervention (computer-based vs. virtual reality cognitive training) types. Results: This systematic review and meta-analysis analyzed 37 studies. Overall, DCIs improved global cognitive function compared to the control group (SMD = 0.44, 95% CI: 0.18, 0.69). However, subgroup analysis showed no significant effect when DCIs were compared with active controls (SMD = 0.24, 95% CI: -0.35, 0.82). Subgroup analysis showed benefits for individuals with MCI (SMD = 0.43, 95% CI: 0.16, 0.70) but yielded inconclusive results for those with dementia (SMD = 0.95, 95% CI: -0.69, 2.59). Computer-based DCIs were effective (SMD = 0.57, 95% CI: 0.20, 0.93), whereas VR-based interventions had inconsistent outcomes (SMD = 0.32, 95% CI: -0.34, 0.98). Conclusions: DCIs may improve cognitive function compared with usual care, particularly in patients with MCI. However, their added benefits overactive cognitive interventions remain uncertain. Further well-designed studies are needed to clarify the relative advantages of DCIs across patient populations and intervention formats.",Lee H; Lim Y; Lee SH,2026,"Medicina (Kaunas, Lithuania)",Journal Article; Meta-Analysis; Systematic Review,10.3390/medicina62061162,42356174,TRUE,NA,NA,NA,NA,,,excluded,wrong_study_design,high,Review/bibliometric study; no primary intervention data; retain for background and citation searching,dementia_population; vr_technology; psychosocial_component; intervention_language; review; physical_or_cognitive_training; mci_language; title_dementia_population,no,rule_based_triage,,yes
VRD0545|Comparing the efficacy of content and media for online dementia education: A five-arm randomized controlled trial.,VRD0545,PubMed,Comparing the efficacy of content and media for online dementia education: A five-arm randomized controlled trial.,"Various educational programs have been designed to reduce dementia-related stigma. However, the most effective content remains unclear owing to the integration of multiple contents. This study aimed to compare the efficacy of different content. Participants from a crowdsourcing website were randomly assigned to one of five online interventions: (1) a lecture video on dementia and the lives of people living with dementia (15.2 min); (2) a short drama about a person living with dementia and their families (28.4 min); (3) drama combined with virtual reality (VR), allowing participants to experience part of the drama from a person living with dementia perspective (37.5 min), (4) mini-games simulating interactions with people living with dementia (12.6 min); and (5) documentary videos about people living with dementia (15.0 min). Attitudes and helping intentions toward people living with dementia were assessed before and after the interventions. All groups demonstrated significant within-group improvements, but no significant differences in score changes were observed between groups. Considering their short duration and ease of development and delivery, and comparable effects with other methods, lecture videos are recommended as an efficient method for reducing dementia stigma via online education.",Matsumoto H; Igarashi A; Takaoka M; Yoshioka-Maeda K,2026,Gerontology & geriatrics education,Journal Article,10.1080/02701960.2026.2623601,41622660,TRUE,NA,NA,NA,NA,,,excluded,wrong_intervention,medium,No explicit psychosocial or interpersonal VR intervention identified,dementia_population; vr_technology; intervention_language; non_patient_target; title_dementia_population; patient_participant_phrase,no,rule_based_triage,,no
VRD0590|Compensatory Postural Adjustments in an Oculus Virtual Reality Environment and the Risk of Falling in Alzheimer's Disease.,VRD0590,PubMed,Compensatory Postural Adjustments in an Oculus Virtual Reality Environment and the Risk of Falling in Alzheimer's Disease.,"BACKGROUND/AIMS: Alzheimer's disease (AD) patients have an impaired ability to quickly reweight central sensory dependence in response to unexpected body perturbations. Herein, we aim to study provoked compensatory postural adjustments (CPAs) in a conflicting sensory paradigm with unpredictable visual displacements using virtual reality goggles. METHODS: We used kinematic time-frequency analyses of two frequency bands: a low-frequency band (LB; 0.3-1.5 Hz; mechanical strategy) and a high-frequency band (HB; 1.5-3.5 Hz; cognitive strategy). We enrolled 19 healthy subjects (controls) and 21 AD patients, divided according to their previous history of falls. RESULTS: The AD faller group presented higher-power LB CPAs, reflecting their worse inherent postural stability. The AD patients had a time lag in their HB CPA reaction. CONCLUSION: The slower reaction by CPA in AD may be a reflection of different cognitive resources including body schema self-perception, visual motion, depth perception, or a different state of fear and/or anxiety.",Gago MF; Yelshyna D; Bicho E; Silva HD; Rocha L; Lurdes Rodrigues M; Sousa N,2016,Dementia and geriatric cognitive disorders extra,Journal Article,10.1159/000447124,27489559,TRUE,NA,NA,NA,NA,,,excluded,wrong_intervention,high,Physical/motor or cognitive training without an explicit psychosocial component,dementia_population; vr_technology; psychosocial_component; title_dementia_population; title_vr_technology; clear_training_title,no,rule_based_triage,,no
VRD0720|Computerised cognitive training for 12 or more weeks for maintaining cognitive function in cognitively healthy people in late life.,VRD0720,PubMed,Computerised cognitive training for 12 or more weeks for maintaining cognitive function in cognitively healthy people in late life.,"BACKGROUND: Increasing age is associated with a natural decline in cognitive function and is the greatest risk factor for dementia. Cognitive decline and dementia are significant threats to independence and quality of life in older adults. Therefore, identifying interventions that help to maintain cognitive function in older adults or that reduce the risk of dementia is a research priority. Cognitive training uses repeated practice on standardised exercises targeting one or more cognitive domains and may be intended to improve or maintain optimal cognitive function. This review examines the effects of computerised cognitive training interventions lasting at least 12 weeks on the cognitive function of healthy adults aged 65 or older and has formed part of a wider project about modifying lifestyle to maintain cognitive function. We chose a minimum 12 weeks duration as a trade-off between adequate exposure to a sustainable intervention and feasibility in a trial setting. OBJECTIVES: To evaluate the effects of computerised cognitive training interventions lasting at least 12 weeks on cognitive function in cognitively healthy people in late life. SEARCH METHODS: We searched to 31 March 2018 in ALOIS (www.medicine.ox.ac.uk/alois), and we performed additional searches of MEDLINE, Embase, PsycINFO, CINAHL, ClinicalTrials.gov, and the WHO Portal/ICTRP (www.apps.who.int/trialsearch), to ensure that the search was as comprehensive and as up-to-date as possible to identify published, unpublished, and ongoing trials. SELECTION CRITERIA: We included randomised controlled trials (RCTs) and quasi-RCTs, published or unpublished, reported in any language. Participants were cognitively healthy people, and at least 80% of the study population had to be aged 65 or older. Experimental interventions adhered to the following criteria: intervention was any form of interactive computerised cognitive intervention - including computer exercises, computer games, mobile devices, gaming console, and virtual reality - that involved repeated practice on standardised exercises of specified cognitive domain(s) for the purpose of enhancing cognitive function; the duration of the intervention was at least 12 weeks; cognitive outcomes were measured; and cognitive training interventions were compared with active or inactive control interventions. DATA COLLECTION AND ANALYSIS: We performed preliminary screening of search results using a 'crowdsourcing' method to identify RCTs. At least two review authors working independently screened the remaining citations against inclusion criteria. At least two review authors also independently extracted data and assessed the risk of bias of included RCTs. Where appropriate, we synthesised data in random-effects meta-analyses, comparing computerised cognitive training (CCT) separately with active and inactive controls. We expressed treatment effects as standardised mean differences (SMDs) with 95% confidence intervals (CIs). We used GRADE methods to describe the overall quality of the evidence for each outcome. MAIN RESULTS: We identified eight RCTs with a total of 1183 participants. The duration of the interventions ranged from 12 to 26 weeks; in five trials, the duration of intervention was 12 or 13 weeks. The included studies had moderate risk of bias, and the overall quality of evidence was low or very low for all outcomes. We compared CCT first against active control interventions, such as watching educational videos. Negative SMDs favour CCT over control. Trial results suggest slight improvement in global cognitive function at the end of the intervention period (12 weeks) (standardised mean difference (SMD) -0.31, 95% confidence interval (CI) -0.57 to -0.05; 232 participants; 2 studies; low-quality evidence). One of these trials also assessed global cognitive function 12 months after the end of the intervention; this trial provided no clear evidence of a persistent effect (SMD -0.21, 95% CI -0.66 to 0.24; 77 participants; 1 study; low-quality evidence). CCT may result in little or no difference at the end of the intervention period in episodic memory (12 to 17 weeks) (SMD 0.06, 95% CI -0.14 to 0.26; 439 participants; 4 studies; low-quality evidence) or working memory (12 to 16 weeks) (SMD -0.17, 95% CI -0.36 to 0.02; 392 participants; 3 studies; low-quality evidence). Because of the very low quality of the evidence, we are very uncertain about the effects of CCT on speed of processing and executive function. We also compared CCT to inactive control (no interventions). We found no data on our primary outcome of global cognitive function. At the end of the intervention, CCT may lead to slight improvement in episodic memory (6 months) (mean difference (MD) in Rivermead Behavioural Memory Test (RBMT) -0.90 points, 95% confidence interval (CI) -1.73 to -0.07; 150 participants; 1 study; low-quality evidence) but can have little or no effect on executive function (12 weeks to 6 months) (SMD -0.08, 95% CI -0.31 to 0.15; 292 participants; 2 studies; low-quality evidence), working memory (16 weeks) (MD -0.08, 95% CI -0.43 to 0.27; 60 participants; 1 study; low-quality evidence), or verbal fluency (6 months) (MD -0.11, 95% CI -1.58 to 1.36; 150 participants; 1 study; low-quality evidence). We could not determine any effects on speed of processing because the evidence was of very low quality. We found no evidence on quality of life, activities of daily living, or adverse effects in either comparison. AUTHORS' CONCLUSIONS: We found low-quality evidence suggesting that immediately after completion of the intervention, small benefits of CCT may be seen for global cognitive function when compared with active controls, and for episodic memory when compared with an inactive control. These benefits are of uncertain clinical importance. We found no evidence that the effect on global cognitive function persisted 12 months later. Our confidence in the results was low, reflecting the overall quality of the evidence. In five of the eight trials, the duration of the intervention was just three months. The possibility that more extensive training could yield larger benefit remains to be more fully explored. We found substantial literature on cognitive training, and collating all available scientific information posed problems. Duration of treatment may not be the best way to categorise interventions for inclusion. As the primary interest of older people and of guideline writers and policymakers involves sustained cognitive benefit, an alternative would be to categorise by length of follow-up after selecting studies that assess longer-term effects.",Gates NJ; Rutjes AW; Di Nisio M; Karim S; Chong LY; March E; Martínez G; Vernooij RW,2020,The Cochrane database of systematic reviews,"Journal Article; Meta-Analysis; Research Support, Non-U.S. Gov't; Systematic Review",10.1002/14651858.cd012277.pub3,32104914,TRUE,NA,NA,NA,NA,,,excluded,wrong_study_design,high,Review/bibliometric study; no primary intervention data; retain for background and citation searching,dementia_population; vr_technology; psychosocial_component; intervention_language; review; physical_or_cognitive_training; clear_training_title,no,rule_based_triage,,yes
VRD0209|Computerised cognitive training for maintaining cognitive function in cognitively healthy people in late life.,VRD0209,PubMed,Computerised cognitive training for maintaining cognitive function in cognitively healthy people in late life.,"BACKGROUND: Increasing age is associated with a natural decline in cognitive function and is also the greatest risk factor for dementia. Cognitive decline and dementia are significant threats to independence and quality of life in older adults. Therefore, identifying interventions that help to maintain cognitive function in older adults or to reduce the risk of dementia is a research priority. Cognitive training uses repeated practice on standardised exercises targeting one or more cognitive domains and is intended to maintain optimum cognitive function. This review examines the effect of computerised cognitive training interventions lasting at least 12 weeks on the cognitive function of healthy adults aged 65 or older. OBJECTIVES: To evaluate the effects of computerised cognitive training interventions lasting at least 12 weeks for the maintenance or improvement of cognitive function in cognitively healthy people in late life. SEARCH METHODS: We searched to 31 March 2018 in ALOIS (www.medicine.ox.ac.uk/alois) and performed additional searches of MEDLINE, Embase, PsycINFO, CINAHL, ClinicalTrials.gov, and the WHO Portal/ICTRP (www.apps.who.int/trialsearch) to ensure that the search was as comprehensive and as up-to-date as possible, to identify published, unpublished, and ongoing trials. SELECTION CRITERIA: We included randomised controlled trials (RCTs) and quasi-RCTs, published or unpublished, reported in any language. Participants were cognitively healthy people, and at least 80% of the study population had to be aged 65 or older. Experimental interventions adhered to the following criteria: intervention was any form of interactive computerised cognitive intervention - including computer exercises, computer games, mobile devices, gaming console, and virtual reality - that involved repeated practice on standardised exercises of specified cognitive domain(s) for the purpose of enhancing cognitive function; duration of the intervention was at least 12 weeks; cognitive outcomes were measured; and cognitive training interventions were compared with active or inactive control interventions. DATA COLLECTION AND ANALYSIS: We performed preliminary screening of search results using a 'crowdsourcing' method to identify RCTs. At least two review authors working independently screened the remaining citations against inclusion criteria. At least two review authors also independently extracted data and assessed the risk of bias of included RCTs. Where appropriate, we synthesised data in random-effect meta-analyses, comparing computerised cognitive training (CCT) separately with active and inactive controls. We expressed treatment effects as standardised mean differences (SMDs) with 95% confidence intervals (CIs). We used GRADE methods to describe the overall quality of the evidence for each outcome. MAIN RESULTS: We identified eight RCTs with a total of 1183 participants. Researchers provided interventions over 12 to 26 weeks; in five trials, the duration of intervention was 12 or 13 weeks. The included studies had a moderate risk of bias. Review authors noted a lot of inconsistency between trial results. The overall quality of evidence was low or very low for all outcomes.We compared CCT first against active control interventions, such as watching educational videos. Because of the very low quality of the evidence, we were unable to determine any effect of CCT on our primary outcome of global cognitive function or on secondary outcomes of episodic memory, speed of processing, executive function, and working memory.We also compared CCT versus inactive control (no interventions). Negative SMDs favour CCT over control. We found no studies on our primary outcome of global cognitive function. In terms of our secondary outcomes, trial results suggest slight improvement in episodic memory (mean difference (MD) -0.90, 95% confidence interval (CI) -1.73 to -0.07; 150 participants; 1 study; low-quality evidence) and no effect on executive function (SMD -0.08, 95% CI -0.31 to 0.15; 292 participants; 2 studies; low-quality evidence), working memory (MD -0.08, 95% CI -0.43 to 0.27; 60 participants; 1 study; low-quality evidence), or verbal fluency (MD -0.11, 95% CI -1.58 to 1.36; 150 participants; 1 study; low-quality evidence). We could not determine any effects on speed of processing at trial endpoints because the evidence was of very low quality.We found no evidence on quality of life, activities of daily living, or adverse effects in either comparison. AUTHORS' CONCLUSIONS: We found little evidence from the included studies to suggest that 12 or more weeks of CCT improves cognition in healthy older adults. However, our limited confidence in the results reflects the overall quality of the evidence. Inconsistency between trials was a major limitation. In five of the eight trials, the duration of intervention was just three months. The possibility that longer periods of training could be beneficial remains to be more fully explored.",Gates NJ; Rutjes AW; Di Nisio M; Karim S; Chong LY; March E; Martínez G; Vernooij RW,2019,The Cochrane database of systematic reviews,"Journal Article; Meta-Analysis; Research Support, Non-U.S. Gov't; Systematic Review",10.1002/14651858.cd012277.pub2,30864187,TRUE,NA,NA,NA,NA,,,excluded,wrong_study_design,high,Review/bibliometric study; no primary intervention data; retain for background and citation searching,dementia_population; vr_technology; psychosocial_component; intervention_language; review; physical_or_cognitive_training; clear_training_title,no,rule_based_triage,,yes
VRD0191|Computerised cognitive training for preventing dementia in people with mild cognitive impairment.,VRD0191,PubMed,Computerised cognitive training for preventing dementia in people with mild cognitive impairment.,"BACKGROUND: The number of people living with dementia is increasing rapidly. Clinical dementia does not develop suddenly, but rather is preceded by a period of cognitive decline beyond normal age-related change. People at this intermediate stage between normal cognitive function and clinical dementia are often described as having mild cognitive impairment (MCI). Considerable research and clinical efforts have been directed toward finding disease-modifying interventions that may prevent or delay progression from MCI to clinical dementia. OBJECTIVES: To evaluate the effects of at least 12 weeks of computerised cognitive training (CCT) on maintaining or improving cognitive function and preventing dementia in people with mild cognitive impairment. SEARCH METHODS: We searched to 31 May 2018 in ALOIS (www.medicine.ox.ac.uk/alois) and ran additional searches in MEDLINE, Embase, PsycINFO, CINAHL, ClinicalTrials.gov, and the WHO portal/ICTRP (www.apps.who.int/trialsearch) to identify published, unpublished, and ongoing trials. SELECTION CRITERIA: We included randomised controlled trials (RCTs) and quasi-RCTs in which cognitive training via interactive computerised technology was compared with an active or inactive control intervention. Experimental computerised cognitive training (CCT) interventions had to adhere to the following criteria: minimum intervention duration of 12 weeks; any form of interactive computerised cognitive training, including computer exercises, computer games, mobile devices, gaming console, and virtual reality. Participants were adults with a diagnosis of mild cognitive impairment (MCI) or mild neurocognitive disorder (MND), or otherwise at high risk of cognitive decline. DATA COLLECTION AND ANALYSIS: Two review authors independently extracted data and assessed risk of bias of the included RCTs. We expressed treatment effects as mean differences (MDs) or standardised mean differences (SMDs) for continuous outcomes and as risk ratios (RRs) for dichotomous outcomes. We used the GRADE approach to describe the overall quality of evidence for each outcome. MAIN RESULTS: Eight RCTs with a total of 660 participants met review inclusion criteria. Duration of the included trials varied from 12 weeks to 18 months. Only one trial used an inactive control. Most studies were at unclear or high risk of bias in several domains. Overall, our ability to draw conclusions was hampered by very low-quality evidence. Almost all results were very imprecise; there were also problems related to risk of bias, inconsistency between trials, and indirectness of the evidence.No trial provided data on incident dementia. For comparisons of CCT with both active and inactive controls, the quality of evidence on our other primary outcome of global cognitive function immediately after the intervention period was very low. Therefore, we were unable to draw any conclusions about this outcome.Due to very low quality of evidence, we were also unable to determine whether there was any effect of CCT compared to active control on our secondary outcomes of episodic memory, working memory, executive function, depression, functional performance, and mortality. We found low-quality evidence suggesting that there is probably no effect on speed of processing (SMD 0.20, 95% confidence interval (CI) -0.16 to 0.56; 2 studies; 119 participants), verbal fluency (SMD -0.16, 95% CI -0.76 to 0.44; 3 studies; 150 participants), or quality of life (mean difference (MD) 0.40, 95% CI -1.85 to 2.65; 1 study; 19 participants).When CCT was compared with inactive control, we obtained data on five secondary outcomes, including episodic memory, executive function, verbal fluency, depression, and functional performance. We found very low-quality evidence; therefore, we were unable to draw any conclusions about these outcomes. AUTHORS' CONCLUSIONS: Currently available evidence does not allow us to determine whether or not computerised cognitive training will prevent clinical dementia or improve or maintain cognitive function in those who already have evidence of cognitive impairment. Small numbers of trials, small samples, risk of bias, inconsistency between trials, and highly imprecise results mean that it is not possible to derive any implications for clinical practice, despite some observed large effect sizes from individual studies. Direct adverse events are unlikely to occur, although the time and sometimes the money involved in computerised cognitive training programmes may represent significant burdens. Further research is necessary and should concentrate on improving methodological rigour, selecting suitable outcomes measures, and assessing generalisability and persistence of any effects. Trials with long-term follow-up are needed to determine the potential of this intervention to reduce the risk of dementia.",Gates NJ; Vernooij RW; Di Nisio M; Karim S; March E; Martínez G; Rutjes AW,2019,The Cochrane database of systematic reviews,"Journal Article; Meta-Analysis; Research Support, Non-U.S. Gov't; Systematic Review",10.1002/14651858.cd012279.pub2,30864747,TRUE,NA,NA,NA,NA,,,excluded,wrong_study_design,high,Review/bibliometric study; no primary intervention data; retain for background and citation searching,dementia_population; vr_technology; psychosocial_component; intervention_language; review; assessment_language; physical_or_cognitive_training; mci_language; title_dementia_population; patient_participant_phrase; clear_training_title,no,rule_based_triage,,yes
VRD0006|Computerized Cognitive Training in Older Adults With Mild Cognitive Impairment or Dementia: A Systematic Review and Meta-Analysis.,VRD0006,PubMed,Computerized Cognitive Training in Older Adults With Mild Cognitive Impairment or Dementia: A Systematic Review and Meta-Analysis.,"OBJECTIVE: Previous meta-analyses indicate that computerized cognitive training (CCT) is a safe and efficacious intervention for cognition in older adults. However, efficacy varies across populations and cognitive domains, and little is known about the efficacy of CCT in people with mild cognitive impairment or dementia. METHOD: The authors searched Medline, Embase, PsychINFO, CINAHL, and CENTRAL through July 1, 2016, for randomized controlled trials of CCT in older adults with mild cognitive impairment or dementia. Overall cognition, individual cognitive domains, psychosocial function, and activities of daily living were pooled separately for mild cognitive impairment and dementia trials. RESULTS: The overall effect on cognition in mild cognitive impairment across 17 trials was moderate (Hedges' g=0.35, 95% CI=0.20-0.51). There was no evidence of publication bias or difference between active- and passive-controlled trials. Small to moderate effects were found for global cognition, attention, working memory, learning, and memory, with the exception of nonverbal memory, and for psychosocial functioning, including depressive symptoms. In dementia, statistically significant effects were found on overall cognition (k=11, g=0.26, 95% CI=0.01-0.52) and visuospatial skills, but these were driven by three trials of virtual reality or Nintendo Wii. CONCLUSIONS: CCT is efficacious on global cognition, select cognitive domains, and psychosocial functioning in people with mild cognitive impairment. This intervention therefore warrants longer-term and larger-scale trials to examine effects on conversion to dementia. Conversely, evidence for efficacy in people with dementia is weak and limited to trials of immersive technologies.",Hill NT; Mowszowski L; Naismith SL; Chadwick VL; Valenzuela M; Lampit A,2017,The American journal of psychiatry,Journal Article; Meta-Analysis; Systematic Review,10.1176/appi.ajp.2016.16030360,27838936,TRUE,NA,NA,NA,NA,,,excluded,wrong_study_design,high,Review/bibliometric study; no primary intervention data; retain for background and citation searching,dementia_population; vr_technology; psychosocial_component; intervention_language; review; physical_or_cognitive_training; mci_language; title_dementia_population; patient_participant_phrase; clear_training_title,no,rule_based_triage,,yes
VRD0081|Computerized and virtual reality cognitive training for individuals at high risk of cognitive decline: systematic review of the literature.,VRD0081,PubMed,Computerized and virtual reality cognitive training for individuals at high risk of cognitive decline: systematic review of the literature.,"The aim of this study was to assess the efficacy of cognitive training, specifically computerized cognitive training (CCT) and virtual reality cognitive training (VRCT), programs for individuals living with mild cognitive impairment (MCI) or dementia and therefore at high risk of cognitive decline. After searching a range of academic databases (CINHAL, PSYCinfo, and Web of Science), the studies evaluated (N = 16) were categorized as CCT (N = 10), VRCT (N = 3), and multimodal interventions (N = 3). Effect sizes were calculated, but a meta-analysis was not possible because of the large variability of study design and outcome measures adopted. The cognitive domains of attention, executive function, and memory (visual and verbal) showed the most consistent improvements. The positive effects on psychological outcomes (N = 6) were significant reductions on depressive symptoms (N = 3) and anxiety (N = 2) and improved perceived use of memory strategy (N = 1). Assessments of activities of daily living demonstrated no significant improvements (N = 8). Follow-up studies (N = 5) demonstrated long-term improvements in cognitive and psychological outcomes (N = 3), and the intervention groups showed a plateau effect of cognitive functioning compared with the cognitive decline experienced by control groups (N = 2). CCT and VRCT were moderately effective in long-term improvement of cognition for those at high risk of cognitive decline. Total intervention time did not mediate efficacy. Future research needs to improve study design by including larger samples, longitudinal designs, and a greater range of outcome measures, including functional and quality of life measures, to assess the wider effect of cognitive training on individuals at high risk of cognitive decline.",Coyle H; Traynor V; Solowij N,2015,The American journal of geriatric psychiatry : official journal of the American; Association for Geriatric Psychiatry,"Journal Article; Research Support, Non-U.S. Gov't; Systematic Review",10.1016/j.jagp.2014.04.009,24998488,TRUE,NA,NA,NA,NA,,,excluded,wrong_study_design,high,Review/bibliometric study; no primary intervention data; retain for background and citation searching,dementia_population; vr_technology; psychosocial_component; intervention_language; review; physical_or_cognitive_training; mci_language; title_vr_technology; clear_training_title,no,rule_based_triage,,yes
VRD0384|Continuous updating via self-motion compensates for weak allocentric spatial memory in aging.,VRD0384,PubMed,Continuous updating via self-motion compensates for weak allocentric spatial memory in aging.,"Navigational skills are essential for interacting with our environment, supported by multiple types of spatial representations. We investigated age-related differences in spatial memory using a virtual reality task that manipulated viewpoints between the encoding and retrieval of one or four-object locations. The task investigates compensatory mechanisms in aging, specifically how spatial updating via self-motion affects spatial memory. We tested 21 young adults (ages 19-36) and 23 older adults (ages 63-80). The task involved three movement conditions: same-viewpoint condition, where participants walked away and returned to the same viewpoint; shifted-viewpoint (walking) condition where participants walked to a different viewpoint, enabling continuous updates of their egocentric representations through self-motion; and shifted-viewpoint (teleport) condition where participants teleported to the other viewpoint, involving both a virtual translation and rotation of the participant's view. Retrieval was tested by asking participants to place each object at its previously seen location. Average displacement error was affected by age group, object configuration, and movement condition, with an interaction between age and movement condition. Differences in movement conditions were primarily driven by older participants, who were most accurate from the same viewpoint. In shifted-viewpoint conditions, teleportation-where self-motion cues were absent-led to significantly greater errors than walking in the older group. Our results highlight the role of spatial updating in supporting spatial memory and suggest that age-related decline in allocentric representations can be mitigated by continuous updating of egocentric representations by self-motion. We speculate that the use of spatial updating might be impaired early in the progression to Alzheimer's dementia due to entorhinal cortical pathology. (PsycInfo Database Record (c) 2025 APA, all rights reserved).",Castegnaro A; Dior A; Burgess N; King J,2025,Psychology and aging,Journal Article,10.1037/pag0000926,40788702,TRUE,NA,NA,NA,NA,,,excluded,wrong_intervention,medium,No explicit psychosocial or interpersonal VR intervention identified,dementia_population; vr_technology; psychosocial_component,no,rule_based_triage,,no
VRD0456|Convergent and discriminant validity of the CVLT (dementia version). California Verbal Learning Test.,VRD0456,PubMed,Convergent and discriminant validity of the CVLT (dementia version). California Verbal Learning Test.,"This study investigated the convergent and discriminant validity of the 9-item ""dementia version'' of the California Verbal Learning Test (CVLT-9) in a sample of 130 geriatric patients evaluated for memory complaints. Moderate correlations were observed between the CVLT-9 sum of words recalled for trials 1-5 (Trial 1-5 Recall) and Long-Delay Free Recall (LDFR) measures and the immediate and delayed Logical Memory (LM I and LM II) and Visual Reproduction (VR I and VR II) subtests from the Wechsler Memory Scale-Revised (WMS-R). However, the CVLT-9 Trial 1-5 Recall and VR I measures demonstrated significant correlations with a number of additional measures of language and visuospatial ability. The CVLT-9 LDFR, and the WMS-R LM I, LM II, and VR II showed less overlap with non-episodic memory functioning. A principal components analysis yielded a three-component solution consisting of a general or ""g'' component, a specific memory component, and a mood component. The CVLT-9 Trial 1-5 Recall and VR I loaded on both the ""g'' and the memory components, whereas LM I, LM II, and VR II loaded on only the memory component. We conclude that the CVLT-9 Trial 1-5 Recall and VR I demonstrate low discriminant validity, suggesting diminished specificity as memory measures.",Woodard JL; Goldstein FC; Roberts VJ; McGuire C,NA,Journal of clinical and experimental neuropsychology,Journal Article,NA,10550812,TRUE,NA,NA,NA,NA,,,excluded,wrong_intervention,medium,No explicit psychosocial or interpersonal VR intervention identified,dementia_population; vr_technology; psychosocial_component; intervention_language; title_dementia_population,no,rule_based_triage,,no
"VRD1386|Coronary Angiography THerapeutic Virtual Reality: Investigating the Effect of Virtual Reality on Procedural Anxiety, Pain and Vasospasm",VRD1386,Embase,"Coronary Angiography THerapeutic Virtual Reality: Investigating the Effect of Virtual Reality on Procedural Anxiety, Pain and Vasospasm",NA,NA,2018,clinicaltrials.gov,NA,NA,NA,TRUE,NA,NA,NA,NA,,,excluded,wrong_population,medium,No eligible diagnosed dementia population identified,vr_technology; psychosocial_component; intervention_language; missing_abstract; title_vr_technology; title_psychosocial_component,no,curated_title_abstract_review,,no
"VRD0121|Current Cognition Tests, Potential Virtual Reality Applications, and Serious Games in Cognitive Assessment and Non-Pharmacological Therapy for Neurocognitive Disorders.",VRD0121,PubMed,"Current Cognition Tests, Potential Virtual Reality Applications, and Serious Games in Cognitive Assessment and Non-Pharmacological Therapy for Neurocognitive Disorders.","As the global population ages, the incidence of major neurocognitive disorders (major NCDs), such as the most common geriatric major NCD, Alzheimer's disease (AD), has grown. Thus, the need for more definitive cognitive assessment or even effective non-pharmacological intervention for age-related NCDs is becoming more and more pressing given that no definitive diagnostics or efficacious therapeutics are currently unavailable for them. We evaluate the current state of the art of cognitive assessment for major NCDs, and then briefly glance ahead at potential application of virtual reality (VR) technologies in major NCD assessment and in cognition training of visuospatial reasoning in a 3D environment, as well as in the alleviation of depression and other symptoms of cognitive disorders. We believe that VR-based technologies have tremendous potentials in cognitive assessment and non-pharmacological therapy for major NCDs.",Jin R; Pilozzi A; Huang X,2020,Journal of clinical medicine,Journal Article; Review,10.3390/jcm9103287,33066242,TRUE,NA,NA,NA,NA,,,excluded,wrong_study_design,high,Review/bibliometric study; no primary intervention data; retain for background and citation searching,dementia_population; vr_technology; psychosocial_component; intervention_language; review; assessment_language; title_vr_technology; patient_participant_phrase; clear_assessment_title,no,rule_based_triage,,yes
VRD0982|Customised virtual reality (VR) on mood disorders in nursing homes and long term care unit: A case study on a resident with moderate cognitive impairment,VRD0982,Embase,Customised virtual reality (VR) on mood disorders in nursing homes and long term care unit: A case study on a resident with moderate cognitive impairment,NA,NA,2023,Ann. Med.-Psychol,NA,10.1016/j.amp.2022.10.018,NA,TRUE,NA,NA,NA,NA,,,uncertain,insufficient_information,low,"Curated title/abstract review: potentially relevant, but population, intervention content, or study design requires full-text verification",vr_technology; psychosocial_component; missing_abstract; title_vr_technology; title_psychosocial_component,yes,curated_title_abstract_review,,no
